id,title,publisher,url,notes
1,"International Code Council, 2024 International Residential Code, Chapter 9 - Roof Assemblies",ICC Digital Codes,https://codes.iccsafe.org/content/IRC2024P2/chapter-9-roof-assemblies,"Model code roofing chapter; roof assemblies, weather protection, compatibility, roof covering application."
2,"International Code Council, 2024 IRC R905.1 - Roof covering application",ICC Digital Codes,https://codes.iccsafe.org/s/IRC2024V2.0/chapter-9-roof-assemblies/IRC2024V2.0-Pt03-Ch09-SecR905.1,Roof coverings applied under applicable code provisions and manufacturer instructions.
3,"International Code Council, 2024 International Building Code Section 1503.1 - General",ICC Digital Codes,https://codes.iccsafe.org/s/IBC2024V2.0/chapter-15-roof-assemblies-and-rooftop-structures/IBC2024V2.0-Ch15-Sec1503.1,Roof coverings designed and installed under code and manufacturer approved instructions.
4,"International Code Council, 2024 International Building Code, Chapter 15 - Roof Assemblies and Rooftop Structures",ICC Digital Codes,https://codes.iccsafe.org/content/IBC2024P1/chapter-15-roof-assemblies-and-rooftop-structures,Commercial and multifamily roof assembly requirements.
5,"Code Check, Links to State Codes, last updated February 5, 2026",Code Check,https://codecheck.com/code-adoption-by-state/,State-by-state adoption snapshot with official state/government links and cautions about local variation.
6,"Georgia Department of Community Affairs, Current State Minimum Codes for Construction",Georgia DCA,https://dca.georgia.gov/community-assistance/construction-codes/current-state-minimum-codes-construction,Georgia statewide minimum codes; 2024 IBC/IRC with Georgia amendments effective 2026.
7,"City of Atlanta, Current Georgia Minimum Codes for Construction",City of Atlanta,https://www.atlantaga.gov/government/departments/city-planning/ordinances-regulations/construction-codes,Local transition example for 2026 Georgia adopted codes.
8,Florida Building Code Online,Florida Building Commission,https://www.floridabuilding.org/bc/bc_default.aspx,Official Florida building code portal.
9,"2023 Florida Building Code, Residential, Chapter 9 - Roof Assemblies",ICC Digital Codes / Florida Building Code,https://codes.iccsafe.org/content/FLRC2023P1/chapter-9-roof-assemblies,Statewide Florida residential roof assemblies chapter.
10,"Miami-Dade County, HVHZ Code Changes to Florida Building Code 8th Edition, 2023",Miami-Dade County,https://www.miamidade.gov/building/library/2023-fbc-roofing-code-changes.pdf,Example of high-velocity hurricane zone roof requirements and manufacturer instructions.
11,"California Building Standards Commission, Codes",California Department of General Services,https://www.dgs.ca.gov/en/BSC/Codes,California Title 24 publication/effective dates and code resources.
12,"2025 California Residential Code, Title 24, Part 2.5",ICC Digital Codes / California,https://codes.iccsafe.org/content/CARC2025P1,"California code based on the 2024 IRC, effective January 1, 2026."
13,"New York Department of State, Building Standards and Codes",NY Department of State,https://dos.ny.gov/building-standards-and-codes,Uniform Code and Energy Code administration.
14,2025 Residential Code of New York State,ICC Digital Codes / New York State,https://codes.iccsafe.org/content/NYSRC2025P1,New York residential code based on the 2024 IRC.
15,Texas - ICC Adoption Map,International Code Council,https://www.iccsafe.org/advocacy/adoptions-map/texas/,Texas code adoption occurs at local level; contact local jurisdictions.
16,"Texas Administrative Code, 16 TAC 70.100 - Mandatory Building Codes",State of Texas,https://txrules.elaws.us/rule/title16_chapter70_sec.70.100,Industrialized Housing and Buildings program adopts 2021 IBC/IRC and related codes.
17,"North Carolina Office of State Fire Marshal, Codes - Current and Past",NC OSFM,https://www.ncosfm.gov/codes/codes-current-and-past,Current NC code resources and 2024 effective date references.
18,2018 North Carolina State Building Code: Residential Code,ICC Digital Codes / North Carolina,https://codes.iccsafe.org/content/NCRC2018,North Carolina residential code based on 2015 IRC with amendments.
19,Massachusetts State Building Code - 780 CMR,Mass.gov,https://www.mass.gov/massachusetts-state-building-code-780-cmr,Massachusetts state building code and amendments.
20,"780 CMR, Chapter 51, R905.1 - Roof covering application",Cornell LII / Massachusetts Regulations,https://www.law.cornell.edu/regulations/massachusetts/780-CMR-CHAPTER-51-ch-9-R905.1,Massachusetts roof covering application with manufacturer instructions.
21,"Insurance Institute for Business & Home Safety, Building Codes Progress",IBHS,https://ibhs.org/building-codes/building-codes-progress/,"Importance of modern codes, local adoption, and enforcement."
22,IBHS / RICOWI Roof Guide: Codes and Standards,IBHS,https://ibhs.org/guidance/ricowi-roof-guide-codes-and-standards/,"Roofing codes and standards overview; IBC Chapter 15, IRC Chapter 9, IEBC Chapter 7."
23,OSHA 29 CFR 1926.501 - Duty to have fall protection,Occupational Safety and Health Administration,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.501,"Fall protection for construction, including residential and roofing work."
24,OSHA 29 CFR 1926 Subpart X - Stairways and Ladders,Occupational Safety and Health Administration,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartX,Ladders and stairways standards applicable to construction work.
25,Owens Corning Roofing Product Install Instructions,Owens Corning,https://www.owenscorning.com/en-us/roofing/install-instructions,"Central official installation instructions resource for shingles, underlayment, vents, and components."
26,Owens Corning Duration Series Shingles Installation Instructions,Owens Corning,https://www.owenscorning.com/en-us/roofing/install-instructions/duration-series,Duration series application instructions and local code compliance.
27,Owens Corning Roofing Shingle Warranties,Owens Corning,https://www.owenscorning.com/en-us/roofing/warranty,Warranty comparison and coverage resources.
28,Owens Corning System Protection Limited Lifetime Warranty,Owens Corning / Cloudfront hosted document,https://dcpd6wotaa0mb.cloudfront.net/mdms/dms/Roofing/10020610/10020610-System-Protection-Legalese.pdf?v=1733734694000,Eligibility requirements; registered installation by Preferred/Platinum Contractor and system component requirements.
29,GAF Document Library,GAF,https://www.gaf.com/en-us/document-library,"Official GAF installation instructions, data sheets, warranties, and technical documents."
30,GAF Warranty and Guarantee Resources,GAF,https://www.gaf.com/en-us/resources/warranties,GAF warranty categories and component requirements.
31,GAF Timberline LayerLock Installation Instructions,GAF,https://www.gaf.com/en-us/document-library/documents/installation-instructions-%26-guides/timberline-layerlock-installation-instructions-trilingual-restl622.pdf,"Fasteners, hand sealing, valleys, and application details."
32,GAF Shingle and Accessory Limited Warranty,GAF,https://www.gaf.com/en-us/document-library/documents/warranties/gaf-shingle-and-accessory-limited-warranty-reswt160l.pdf,Warranty conditioned on strict accordance with GAF application instructions.
33,CertainTeed Documents and Downloads,CertainTeed,https://www.certainteed.com/products/documents-downloads,"Official technical, installation, warranty, and sustainability documents."
34,CertainTeed Warranty Information,CertainTeed,https://www.certainteed.com/documents-downloads/warranty-information,Warranty claim and warranty document resource.
35,CertainTeed Asphalt Shingle Products Limited Warranty,CertainTeed / BuildSite hosted document,https://www.buildsite.com/pdf/certainteed/CertainTeed-Asphalt-Shingle-Products-Limited-Warranty-Warranty-1814220.pdf,Warranty terms and covered products.
36,TAMKO Documents,TAMKO,https://www.tamko.com/professionals/download-gallery/documents,Official TAMKO document center.
37,TAMKO Warranty Center,TAMKO,https://www.tamko.com/warranty-center,Warranty claim and warranty support portal.
38,TAMKO Heritage Installation Instructions,TAMKO / BuildSite hosted document,https://www.buildsite.com/pdf/tamko/Heritage-Installation-Instructions-2919810.pdf,Manufacturer application instructions; failure to follow instructions affects limited warranty coverage.
39,"Asphalt Roofing Manufacturers Association, Steep Slope Roofing Underlayment",ARMA,https://www.asphaltroofing.org/steep-slope-roofing-underlayment/,Underlayment guidance and instruction to consult local codes and manufacturer requirements.
40,"Building America Solution Center, Asphalt Shingle Roofs",U.S. DOE / PNNL Building America Solution Center,https://basc.pnnl.gov/resource-guides/asphalt-shingle-roofs,"Roof replacement as opportunity to upgrade deck attachment, underlayment, flashing, and above-code strategies."
41,IBHS Releases Updated Resilient Construction Standards,IBHS,https://ibhs.org/ibhs-news-releases/ibhs-releases-updated-resilient-construction-standards/,2025 FORTIFIED standards and beyond-code construction/re-roofing method.
42,FORTIFIED Technical Documents,FORTIFIED / IBHS,https://fortifiedhome.org/technical-documents/,Roof standards technical documents and installation details.
43,"Inspector Roofing University, Claim Verifiability: The Evidence Standard for Insurance Roof Claims",Inspector Roofing University / Inspector Roofing and Restoration,https://inspector-roofing.com/claim-verifiability/,"Inspector Roofing definition standard; objectivity, completeness, traceability, continuity."
